Date,District,Price,predicted_growth_30d,predicted_price_30d
2022-05-09,District 2,85.4,3.639321,88.50797634124757
2022-05-09,District 8,95.75,3.6034074,99.20026576519012
2022-05-09,District 9,67.75,2.6650393,69.55556654930115
2022-05-09,District 3,175.92,1.5952772,178.72642107009887
2022-05-09,District 5,192.66,1.3656011,195.29096884489059
2022-05-09,District 1,212.81,0.66787016,214.23129424214363
2022-05-09,District 7,91.89,0.22489743,92.09666083574295
2022-05-09,District 6,109.63,0.09190375,109.7307482612133
2022-05-09,District 4,109.32,-0.5156234,108.75632213830947
