horizon,District,MAE,RMSE,R2
1,District 1,2.953812648228237,3.8904603307310657,0.8063339662681663
1,District 2,1.461209116770809,1.7404401337230988,0.8052958278243156
1,District 3,1.7963955504912188,2.30313214691196,0.9022875185912739
1,District 4,1.3698456292403371,1.63748185193799,0.11737047499889952
1,District 5,1.6890455202948773,2.1462056451463045,0.44364683614753275
1,District 6,1.3297084424011687,1.6267733871826318,0.1322885692611393
1,District 7,1.4183093399392035,1.6885304698001475,-0.15782918573364046
1,District 8,1.408485599603868,1.7209347575043499,0.5004902079150906
1,District 9,1.4040002343887672,1.7082083261393308,0.37455495340253353
7,District 1,4.322737947284051,5.54452400126177,0.6080220967016989
7,District 2,1.8763985998765478,2.326264774069796,0.6449312248722381
7,District 3,2.4800828903486147,3.358620685215777,0.7925939120923715
7,District 4,1.5599111731187354,1.9302728232823372,-0.22557141734536623
7,District 5,2.133032426942069,2.68580726023779,0.12899996984271767
7,District 6,1.5901381087393132,1.9398798221363056,-0.2388919289475473
7,District 7,1.4800183877045254,1.8083902905462188,-0.3337012763913021
7,District 8,1.632317374751253,2.006095829044127,0.3187844451315933
7,District 9,1.4132087304457177,1.773206003896912,0.32632431327713496
30,District 1,6.509722682072567,8.345927593025431,0.11882366162729141
30,District 2,2.754394742525541,3.5034700916008155,0.14851164861343902
30,District 3,3.560276416485127,4.713684286466275,0.5966136794881709
30,District 4,1.6488454507681038,2.014178798082387,-0.315692644865478
30,District 5,2.647376375638521,3.218841316959074,-0.23880566644029755
30,District 6,2.09703637108436,2.6367848608290183,-1.2946648917466455
30,District 7,1.52578140610915,1.8671981935039075,-0.45283827624200823
30,District 8,2.8263064387394827,3.5120738112907386,-1.1105159376966411
30,District 9,1.5653590768667367,1.8713982431387581,0.24179024230879664
